1,Architettura,Via Ghiara,36,44121,Ferrara
2,Economia e management,Via Voltapaletto,11,44121,Ferrara
3,Fisica e Scienze della Terra,Via Saragat,1,44122,Ferrara
4,Giurisprudenza,Corso Ercole I d'Este,37,44121,Ferrara
5,Ingegneria,Via Saragat,1,44122,Ferrara
6,Matematica e informatica,Via Machiavelli,30,44121,Ferrara
7,Morfologia chirurgia e medicina sperimentale,Via Luigi Borsari,46,44121,Ferrara
8,Scienze biomediche e chirurgico specialistiche,Via Luigi Borsari,46,44121,Ferrara
9,Scienze chimiche e farmaceutiche,Via Luigi Borsari,46,44121,Ferrara
10,Scienze della vita e biotecnologie,Via Luigi Borsari,46,44121,Ferrara
11,Scienze mediche,Via Fossato di Mortara,64/B,44121,Ferrara
12,Studi umanistici,Via Paradiso,12,44121,Ferrara
